timestamp,encoderLSpeed,encoderRSpeed,RControl
1755262020802,0.000000,0.000000,0.000000
1755262020806,0.000000,0.000000,0.000000
1755262020806,0.000000,0.000000,0.000000
1755262020811,0.000000,44.219997,0.000000
1755262020811,0.000000,0.000000,-0.007813
1755262020814,0.000000,0.000000,-0.007813
1755262020814,0.000000,0.000000,-0.007813
1755262020818,0.000000,0.000000,-0.007813
1755262020818,0.000000,0.000000,-0.007813
1755262020822,0.000000,0.000000,-536870976.000000
1755262020826,0.000000,0.000000,-536870976.000000
1755262020826,0.000000,0.000000,-536870976.000000
1755262020830,0.000000,0.000000,-536870976.000000
1755262020830,0.000000,0.000000,-536870912.000000
1755262020833,0.000000,0.000000,-2048.000000
1755262020833,0.000000,0.000000,-2048.000000
1755262020837,0.000000,0.000000,-2048.000244
1755262020837,0.000000,0.000000,-2048.000244
1755262020841,0.000000,0.000000,-2048.000244
1755262020841,0.000000,0.000000,-0.000000
1755262020845,0.000000,0.000000,-0.000000
1755262020845,0.000000,0.000000,-0.000000
1755262020848,0.000000,0.000000,-0.000000
1755262020852,0.000000,0.000000,-0.000000
1755262020852,0.000000,0.000000,664614314805107993509253904315973632.000000
1755262020856,0.000000,0.000000,664614314805107993509253904315973632.000000
1755262020856,-44.219997,0.000000,664614394033270507773591497859923968.000000
1755262020860,0.000000,44.219997,664614314805107993509253904315973632.000000
1755262020860,0.000000,0.000000,664614235576945479244916310772023296.000000
1755262020861,0.000000,0.000000,-0.000000
1755262020864,0.000000,0.000000,-0.000000
1755262020867,0.000000,0.000000,-0.000000
1755262020871,0.000000,44.219997,-0.000000
1755262020871,-44.219997,0.000000,-0.000000
1755262020874,0.000000,0.000000,-2417852792150762956259328.000000
1755262020874,0.000000,0.000000,-2417852792150762956259328.000000
1755262020878,0.000000,44.219997,-2417852503920386804547584.000000
1755262020878,-44.219997,0.000000,-2417852503920386804547584.000000
1755262020882,0.000000,0.000000,-2417852792150762956259328.000000
1755262020882,-44.219997,44.219997,524288.250000
1755262020886,0.000000,0.000000,524288.187500
1755262020886,-44.219997,0.000000,524288.187500
1755262020890,0.000000,44.219997,524288.187500
1755262020890,-44.219997,0.000000,524288.187500
1755262020894,0.000000,44.219997,2147484160.000000
1755262020894,-44.219997,0.000000,2147483904.000000
1755262020897,0.000000,0.000000,2147484160.000000
1755262020897,-44.219997,44.219997,2147484160.000000
1755262020901,0.000000,0.000000,2147483904.000000
1755262020901,-44.219997,0.000000,9007202475966464.000000
1755262020905,-44.219997,44.219997,9007202475966464.000000
1755262020909,0.000000,0.000000,9007201402224640.000000
1755262020909,0.000000,44.219997,9007201402224640.000000
1755262020912,-44.219997,0.000000,9007201402224640.000000
1755262020912,0.000000,44.219997,618970241003619021964181504.000000
1755262020916,-44.219997,0.000000,618970241003619021964181504.000000
1755262020916,0.000000,0.000000,618970241003619021964181504.000000
1755262020920,0.000000,44.219997,618970241003619021964181504.000000
1755262020920,0.000000,0.000000,618970241003619021964181504.000000
1755262020924,0.000000,44.219997,0.000000
1755262020927,-44.219997,0.000000,0.000000
1755262020928,0.000000,44.219997,0.000000
1755262020931,0.000000,0.000000,0.000000
1755262020931,0.000000,0.000000,0.000000
1755262020935,0.000000,44.219997,-0.000000
1755262020935,0.000000,0.000000,-0.000000
1755262020938,0.000000,0.000000,-0.000000
1755262020938,-44.219997,0.000000,-0.000000
1755262020943,0.000000,44.219997,-0.000000
1755262020943,0.000000,0.000000,0.500000
1755262020946,0.000000,0.000000,0.500000
1755262020950,-44.219997,44.219997,0.500000
1755262020950,0.000000,0.000000,0.500000
1755262020954,-44.219997,44.219997,0.500000
1755262020954,0.000000,0.000000,-8192.007813
1755262020958,-44.219997,44.219997,-8192.007813
1755262020958,0.000000,44.219997,-8192.005859
1755262020961,-44.219997,0.000000,-8192.004883
1755262020961,-44.219997,44.219997,-8192.004883
1755262020965,-44.219997,44.219997,-2251800887427072.000000
1755262020965,0.000000,0.000000,-2251800350556160.000000
1755262020970,-44.219997,44.219997,-2251800350556160.000000
1755262020970,-44.219997,44.219997,-2251800082120704.000000
1755262020973,-44.219997,0.000000,-2251799813685248.000000
1755262020973,0.000000,44.219997,8388609.000000
1755262020977,-44.219997,44.219997,8388610.000000
1755262020977,-44.219997,0.000000,8388610.000000
1755262020980,0.000000,44.219997,8388610.000000
1755262020984,-44.219997,0.000000,8388611.000000
1755262020984,-44.219997,0.000000,0.001953
1755262020988,-44.219997,44.219997,0.001953
1755262020988,0.000000,0.000000,0.001953
1755262020992,-44.219997,0.000000,0.001953
1755262020992,0.000000,0.000000,0.001953
1755262020996,-44.219997,0.000000,-0.000000
1755262020996,0.000000,0.000000,-0.000000
1755262021000,0.000000,0.000000,-0.000000
1755262021003,0.000000,0.000000,-0.000000
1755262021003,-44.219997,0.000000,-0.000000
1755262021007,0.000000,0.000000,37778949877355671191552.000000
1755262021007,0.000000,0.000000,37778954380955298562048.000000
1755262021011,0.000000,0.000000,37778963388154553303040.000000
1755262021011,0.000000,0.000000,37778967891754180673536.000000
1755262021014,0.000000,0.000000,37778967891754180673536.000000
1755262021014,44.219997,0.000000,524288.562500
1755262021018,0.000000,0.000000,524288.562500
1755262021018,0.000000,0.000000,524288.625000
1755262021022,0.000000,44.219997,524288.625000
1755262021022,0.000000,0.000000,524288.562500
1755262021026,0.000000,0.000000,-0.000122
1755262021026,0.000000,44.219997,-0.000122
1755262021030,0.000000,0.000000,-0.000122
1755262021034,0.000000,0.000000,-0.000122
1755262021034,0.000000,44.219997,-0.000122
1755262021037,-44.219997,0.000000,-144115308334940160.000000
1755262021037,0.000000,44.219997,-144115291155070976.000000
1755262021042,0.000000,0.000000,-144115273975201792.000000
1755262021042,0.000000,44.219997,-144115256795332608.000000
1755262021045,-44.219997,44.219997,-144115239615463424.000000
1755262021045,0.000000,0.000000,-664614156348782964980578717228072960.000000
1755262021049,0.000000,44.219997,-664614077120620450716241123684122624.000000
1755262021053,-44.219997,0.000000,-664614077120620450716241123684122624.000000
1755262021053,0.000000,44.219997,-664613997892457936451903530140172288.000000
1755262021057,0.000000,0.000000,-664613997892457936451903530140172288.000000
1755262021057,-44.219997,44.219997,0.000000
1755262021061,0.000000,0.000000,0.000000
1755262021061,0.000000,44.219997,0.000000
1755262021064,0.000000,0.000000,0.000000
1755262021064,-44.219997,0.000000,0.000000
1755262021068,0.000000,0.000000,-2251799813685248.000000
1755262021068,-44.219997,0.000000,-2251799813685248.000000
1755262021072,0.000000,0.000000,-2251800082120704.000000
1755262021072,0.000000,0.000000,-2251800350556160.000000
1755262021077,-44.219997,44.219997,-2251800350556160.000000
1755262021077,0.000000,0.000000,0.000000
1755262021080,-44.219997,0.000000,0.000000
1755262021080,0.000000,0.000000,0.000000
1755262021084,-44.219997,0.000000,0.000000
1755262021088,0.000000,44.219997,0.000000
1755262021088,-44.219997,0.000000,33554448.000000
1755262021092,-44.219997,0.000000,33554448.000000
1755262021092,0.000000,44.219997,33554444.000000
1755262021095,-44.219997,0.000000,33554440.000000
1755262021096,0.000000,44.219997,33554440.000000
1755262021099,-44.219997,0.000000,0.000000
1755262021099,0.000000,44.219997,0.000000
1755262021103,0.000000,0.000000,0.000000
1755262021103,-44.219997,0.000000,0.000000
1755262021106,0.000000,44.219997,0.000000
1755262021106,0.000000,0.000000,618970019642690137449562112.000000
1755262021110,0.000000,44.219997,618970019642690137449562112.000000
1755262021110,0.000000,0.000000,618970019642690137449562112.000000
1755262021114,0.000000,44.219997,618970019642690137449562112.000000
1755262021118,0.000000,0.000000,618970019642690137449562112.000000
1755262021118,0.000000,0.000000,-35184376283136.000000
1755262021122,-44.219997,0.000000,-35184380477440.000000
1755262021122,0.000000,44.219997,-35184380477440.000000
1755262021126,0.000000,0.000000,-35184376283136.000000
1755262021126,0.000000,0.000000,-35184380477440.000000
1755262021129,0.000000,0.000000,-140737555464192.000000
1755262021129,-44.219997,0.000000,-140737589018624.000000
1755262021133,0.000000,44.219997,-140737589018624.000000
1755262021137,0.000000,0.000000,-140737605795840.000000
1755262021137,-44.219997,0.000000,-140737622573056.000000
1755262021140,0.000000,44.219997,2147485696.000000
1755262021140,-44.219997,0.000000,2147485440.000000
1755262021148,0.000000,44.219997,2147485440.000000
1755262021148,-44.219997,0.000000,2147485696.000000
1755262021153,0.000000,44.219997,2147485440.000000
1755262021153,-44.219997,0.000000,-0.000000
1755262021153,0.000000,0.000000,-0.000000
1755262021153,-44.219997,44.219997,-0.000000
1755262021156,-44.219997,0.000000,-0.000000
1755262021156,0.000000,44.219997,-0.000000
1755262021160,-44.219997,0.000000,-41538389723559092452807269423251456.000000
